Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;05;28;15;00;14.80;54.00;1011.70;0.00;1.00;0.00;0.00;100.00;0.00;39.00;100.00;0.00;407.62;15.99;324.16;20.52;322.13;23.74;319.30;17.28
2019;05;28;16;00;14.51;56.00;1011.80;0.10;0.80;0.00;0.00;100.00;0.00;100.00;100.00;0.00;464.58;15.35;320.71;20.93;319.18;25.20;315.58;17.28
2019;05;28;17;00;14.29;56.00;1012.20;0.20;0.80;0.00;0.00;100.00;0.00;100.00;100.00;0.00;334.64;14.90;322.85;20.75;321.34;26.09;320.60;16.92
2019;05;28;18;00;13.87;57.00;1012.80;0.20;0.70;0.00;0.00;100.00;0.00;3.00;100.00;0.00;276.79;14.02;330.80;19.77;326.89;24.36;325.84;17.64
2019;05;28;19;00;13.48;59.00;1013.60;0.30;0.50;0.00;0.00;100.00;0.00;0.00;100.00;0.00;197.58;11.84;340.46;14.66;335.32;19.16;334.40;15.84
2019;05;28;20;00;12.84;61.00;1014.10;0.30;0.20;0.00;0.00;100.00;0.00;4.00;100.00;0.00;134.39;10.04;345.47;11.04;340.97;13.66;341.57;14.40
2019;05;28;21;00;12.11;65.00;1014.10;0.00;0.20;0.00;0.00;100.00;0.00;65.00;100.00;0.00;64.97;5.77;356.42;5.80;352.87;12.32;353.29;11.88
2019;05;28;22;00;11.65;72.00;1015.00;0.00;0.00;0.00;0.00;100.00;0.00;40.00;100.00;0.00;0.89;5.19;33.69;6.13;40.24;20.28;6.12;9.36
2019;05;28;23;00;11.10;80.00;1016.10;0.00;0.00;0.00;0.00;100.00;0.00;75.00;100.00;0.00;0.00;8.94;49.90;13.25;42.80;25.57;9.73;14.76
2019;05;29;00;00;10.60;80.00;1016.90;0.00;0.00;0.00;0.00;100.00;0.00;88.00;100.00;0.00;0.00;7.90;46.85;11.38;34.70;19.30;8.58;12.96
2019;05;29;01;00;10.24;80.00;1016.70;0.00;0.00;0.00;0.00;100.00;0.00;1.00;100.00;0.00;0.00;6.64;49.40;9.50;37.30;21.35;5.81;11.16
2019;05;29;02;00;9.95;83.00;1017.00;0.00;0.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.92;51.34;9.50;37.30;22.37;3.69;10.80
2019;05;29;03;00;9.69;84.00;1018.10;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;8.71;38.29;12.59;30.96;25.86;8.81;14.76
2019;05;29;04;00;8.92;86.00;1018.10;0.00;0.00;0.00;0.00;68.00;0.00;0.00;68.00;0.00;0.00;9.73;38.99;14.39;31.70;26.63;9.33;16.20
2019;05;29;05;00;8.81;86.00;1018.50;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.88;47.12;11.18;33.18;24.98;15.04;12.60
2019;05;29;06;00;8.88;85.00;1018.60;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;7.59;58.57;11.71;45.00;23.60;21.48;12.24
2019;05;29;07;00;9.08;84.00;1019.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;72.09;8.89;58.24;11.02;51.63;24.02;19.25;12.96
2019;05;29;08;00;9.72;80.00;1019.70;0.00;0.00;0.00;0.00;23.00;0.00;0.00;23.00;0.00;225.17;7.70;52.59;8.94;49.90;22.60;22.48;12.96
2019;05;29;09;00;9.87;79.00;1020.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;45.32;233.18;9.18;41.82;9.79;36.03;21.67;32.11;12.96
2019;05;29;10;00;11.08;74.00;1020.40;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;360.45;11.38;34.70;12.29;31.83;17.91;30.17;14.04
2019;05;29;11;00;12.23;68.00;1020.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.62;682.63;12.77;40.43;13.61;37.48;15.62;25.97;15.12
2019;05;29;12;00;12.88;63.00;1020.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;795.66;15.35;39.29;15.70;36.61;17.58;34.99;16.92
2019;05;29;13;00;13.70;59.00;1020.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;866.86;16.70;37.12;17.71;37.57;18.47;33.07;18.36
2019;05;29;14;00;15.83;52.00;1020.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;60.00;872.20;19.17;39.67;22.77;39.23;30.06;34.26;23.04
2019;05;29;15;00;16.67;47.00;1020.20;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;817.91;20.12;47.17;21.39;46.36;23.40;36.87;23.40
2019;05;29;16;00;16.97;45.00;1020.20;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;757.39;17.88;49.90;19.13;48.81;21.98;31.61;21.96
2019;05;29;17;00;17.21;45.00;1020.30;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;658.60;17.34;41.63;18.90;40.36;26.07;35.45;21.24
2019;05;29;18;00;16.28;53.00;1020.70;0.00;0.00;0.00;0.00;12.00;0.00;0.00;12.00;53.62;297.26;20.90;47.79;23.93;46.22;32.78;38.76;22.32
2019;05;29;19;00;16.12;54.00;1021.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;52.34;364.90;20.66;48.53;23.47;48.73;32.50;39.16;24.48
2019;05;29;20;00;15.17;58.00;1021.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;249.20;18.36;48.18;22.96;48.81;31.49;38.97;26.28
2019;05;29;21;00;13.81;63.00;1022.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;89.89;14.53;48.01;21.17;48.45;33.19;36.62;26.64
2019;05;29;22;00;12.64;67.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.72;1.78;13.00;48.37;20.62;45.71;33.48;36.25;24.12
2019;05;29;23;00;11.87;70.00;1024.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.23;47.39;18.58;44.22;34.02;39.42;21.60
2019;05;30;00;00;11.29;73.00;1024.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.48;48.81;18.36;48.18;33.23;39.73;20.52
2019;05;30;01;00;10.54;76.00;1025.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.09;55.18;19.08;54.21;32.14;41.37;18.36
2019;05;30;02;00;10.12;78.00;1025.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.18;48.18;19.41;49.51;31.85;42.71;17.28
2019;05;30;03;00;9.92;77.00;1025.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.42;39.09;12.50;41.50;24.49;48.58;15.84
2019;05;30;04;00;9.33;79.00;1025.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.11;45.00;13.25;47.20;23.69;43.15;14.76
2019;05;30;05;00;8.46;85.00;1025.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.62;50.19;13.76;47.12;23.95;42.56;14.40
2019;05;30;06;00;7.79;90.00;1026.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.95;0.00;4.33;48.37;11.48;48.81;24.97;42.66;14.40
2019;05;30;07;00;8.10;89.00;1026.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;73.87;1.84;78.69;8.09;69.15;24.29;39.59;13.32
2019;05;30;08;00;9.57;81.00;1026.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;230.51;5.35;42.27;6.88;42.88;24.52;40.24;13.68
2019;05;30;09;00;11.42;71.00;1026.50;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;60.00;398.72;8.89;31.76;10.99;31.61;27.06;40.68;14.76
2019;05;30;10;00;13.00;62.00;1026.20;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;59.62;552.69;10.88;34.22;12.98;33.69;29.24;38.00;17.64
2019;05;30;11;00;14.67;56.00;1025.60;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;59.62;682.63;11.75;40.03;14.06;39.81;30.03;37.69;19.80
2019;05;30;12;00;16.27;51.00;1025.70;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;59.81;787.65;13.39;36.25;16.20;36.87;28.80;36.87;20.16
2019;05;30;13;00;17.50;51.00;1025.60;0.00;0.00;0.00;0.00;2.70;9.00;0.00;0.00;59.81;848.17;13.98;34.51;15.99;35.84;23.99;27.72;19.44
2019;05;30;14;00;18.73;47.00;1025.20;0.00;0.00;0.00;0.00;11.00;0.00;11.00;0.00;58.28;872.20;13.58;32.01;14.69;30.96;23.22;29.74;17.28
2019;05;30;15;00;19.80;42.00;1024.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;52.98;857.07;20.19;39.94;23.28;39.35;23.90;37.04;18.36
2019;05;30;16;00;20.16;39.00;1024.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;801.89;18.09;47.42;20.88;46.40;26.87;35.18;19.80
2019;05;30;17;00;20.57;36.00;1024.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;698.65;14.51;43.99;16.81;43.26;26.93;37.94;18.36
2019;05;30;18;00;20.90;39.00;1023.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;566.93;14.62;38.00;18.00;36.87;30.08;42.09;19.44
2019;05;30;19;00;20.08;43.00;1023.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;412.96;15.82;41.31;20.19;39.94;34.44;41.19;24.48
2019;05;30;20;00;18.52;50.00;1024.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;248.31;16.06;47.73;22.42;47.60;37.89;38.83;29.16
2019;05;30;21;00;16.97;56.00;1024.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;90.78;15.02;44.03;24.69;44.41;40.54;41.76;31.68
